01.01.2011;1;0;1;0;6;0;2;0.344167;0.363625;0.805833;0.160446;654;331
01.02.2011;1;0;1;0;0;0;2;0.363478;0.353739;0.696087;0.248539;670;131
01.03.2011;1;0;1;0;1;1;1;0.196364;0.189405;0.437273;0.248309;1229;120
01.04.2011;1;0;1;0;2;1;1;0.2;0.212122;0.590435;0.160296;1454;108
01.05.2011;1;0;1;0;3;1;1;0.226957;0.22927;0.436957;0.1869;1518;82
01.06.2011;1;0;1;0;4;1;1;0.204348;0.233209;0.518261;0.0895652;1518;88
01.07.2011;1;0;1;0;5;1;2;0.196522;0.208839;0.498696;0.168726;1362;148
01.08.2011;1;0;1;0;6;0;2;0.165;0.162254;0.535833;0.266804;891;68
01.09.2011;1;0;1;0;0;0;1;0.138333;0.116175;0.434167;0.36195;768;54
01.10.2011;1;0;1;0;1;1;1;0.150833;0.150888;0.482917;0.223267;1280;41
01.11.2011;1;0;1;0;2;1;2;0.169091;0.191464;0.686364;0.122132;1220;43
01.12.2011;1;0;1;0;3;1;1;0.172727;0.160473;0.599545;0.304627;1137;25
1/13/2011;1;0;1;0;4;1;1;0.165;0.150883;0.470417;0.301;1368;38
1/14/2011;1;0;1;0;5;1;1;0.16087;0.188413;0.537826;0.126548;1367;54
1/15/2011;1;0;1;0;6;0;2;0.233333;0.248112;0.49875;0.157963;1026;222
1/16/2011;1;0;1;0;0;0;1;0.231667;0.234217;0.48375;0.188433;953;251
1/17/2011;1;0;1;1;1;0;2;0.175833;0.176771;0.5375;0.194017;883;117
1/18/2011;1;0;1;0;2;1;2;0.216667;0.232333;0.861667;0.146775;674;9
1/19/2011;1;0;1;0;3;1;2;0.292174;0.298422;0.741739;0.208317;1572;78
1/20/2011;1;0;1;0;4;1;2;0.261667;0.25505;0.538333;0.195904;1844;83
1/21/2011;1;0;1;0;5;1;1;0.1775;0.157833;0.457083;0.353242;1468;75
1/22/2011;1;0;1;0;6;0;1;0.0591304;0.0790696;0.4;0.17197;888;93
1/23/2011;1;0;1;0;0;0;1;0.0965217;0.0988391;0.436522;0.2466;836;150
1/24/2011;1;0;1;0;1;1;1;0.0973913;0.11793;0.491739;0.15833;1330;86
1/25/2011;1;0;1;0;2;1;2;0.223478;0.234526;0.616957;0.129796;1799;186
